Site Set,Field,Bytesize(Approximately. After Serialize),Count,Top1%
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.dsp_tag_str,835,26,32
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.exclude_target_ids,2303881,47,49018
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.global_trace_id,97905,86,1138
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ignore_tencent_bid_optimization,2558,47,54
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.is_all_filter,14104,86,164
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.is_use_whitelist,89100,108,825
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.limit_desense_ad_list,510,6,85
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.result_src,60683,108,561
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.rta_code,29022,86,337
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.rta_id,87480,108,810
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_ids,108049,47,2298
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos,112854,46,2453
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.aid,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.cpa_price,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.cpc_factor,30,1,30
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.dsp_tag,9,1,9
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.dynamic_product_infos,6107,1,6107
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.price_range,3,1,3
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.rta_cpc_bid,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.target_ctrl_flags,60,1,60
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.target_ctrl_flags.disable_cpa_in_compensation_period,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.target_ctrl_flags.disable_user_weight_in_compensation_period,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.target_ctrl_flags.enable_cpa_by_conv_count,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.target_ctrl_flags.ocpa_bid_factor_type,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.target_id,24,1,24
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.user_weight,12,1,12
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.target_infos.user_weight_factor,30,1,30
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.use_feature_group,54,17,3
0,recommend_context.pos_contexts.rta_ranking_request.rta_result_src_map,270068,108,2500
0,recommend_context.pos_contexts.rta_ranking_request.rta_result_src_map.key,87480,108,810
0,recommend_context.pos_contexts.rta_ranking_request.rta_result_src_map.rta_result_src,123187,108,1140
0,recommend_context.pos_contexts.rta_ranking_request.valid_multiplex_condition,39814,19907,2
0,recommend_context.ranking_compress_data,59721,19907,3
0,recommend_context.request_context,413187812,19907,24775
0,recommend_context.request_context.request_flow_industry_strategy,79630,19907,4
0,recommend_context.request_context.request_info,41297775,19907,2909
0,recommend_context.request_context.request_info.ad_lane,780,156,5
0,recommend_context.request_context.request_info.adx_info,206677,15898,13
0,recommend_context.request_context.request_info.adx_info.adx_fetch_ip,95390,15898,6
0,recommend_context.request_context.request_info.adx_info.adx_fetch_port,47695,15898,3
0,recommend_context.request_context.request_info.adx_info.need_ranking_adx_fetch,31797,15898,2
0,recommend_context.request_context.request_info.area_code,75837,19907,4
0,recommend_context.request_context.request_info.context_info,33697340,19907,2479
0,recommend_context.request_context.request_info.context_info.adx_context,316939,15898,20
0,recommend_context.request_context.request_info.context_info.adx_context.adx_ip,79491,15898,5
0,recommend_context.request_context.request_info.context_info.adx_context.adx_is_delay_return_ads,31797,15898,2
0,recommend_context.request_context.request_info.context_info.adx_context.adx_port,47695,15898,3
0,recommend_context.request_context.request_info.context_info.adx_context.req_id,94365,15898,6
0,recommend_context.request_context.request_info.context_info.adx_context.request_adx_from_retrieval_proxy,31797,15898,2
0,recommend_context.request_context.request_info.context_info.hit_pxxr_sample,28,14,2
0,recommend_context.request_context.request_info.context_info.mixer_downstream_status,174,29,6
0,recommend_context.request_context.request_info.context_info.mixer_downstream_status.access_status,58,29,2
0,recommend_context.request_context.request_info.context_info.mixer_downstream_status.service_id,58,29,2
0,recommend_context.request_context.request_info.context_info.req_id,118187,19907,6
0,recommend_context.request_context.request_info.context_info.rta_context,33202294,19907,2455
0,recommend_context.request_context.request_info.context_info.rta_context.need_req_rta,39816,19907,2
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp,15468462,19907,777
